form,class,deixis,tam
ð-iɾdɛc-í,ð,ventive,perfective
ð-à-iɾdɛc-ì,ð,itive,perfective
ð-á-iɾdɛc-ɔ̀,ð,itive,imperfective
ð-á-iɾdɛc-í,ð,ventive,imperfective
g-iɾdɛc-ɔ̀,g,ventive,dependent
g-iɾdɛc-ì,g,itive,dependent
g-iɾdɛc-í,g,ventive,perfective
g-à-iɾdɛc-ì,g,itive,perfective
g-á-iɾdɛc-ɔ̀,g,itive,imperfective
g-á-iɾdɛc-í,g,ventive,imperfective
t̪-iɾdɛc-ɔ̀,t̪,ventive,dependent
t̪-iɾdɛc-ì,t̪,itive,dependent
t̪-iɾdɛc-í,t̪,ventive,perfective
t̪-à-iɾdɛc-ì,t̪,itive,perfective
t̪-á-iɾdɛc-ɔ̀,t̪,itive,imperfective
t̪-á-iɾdɛc-í,t̪,ventive,imperfective
amac-á,unmarked,ventive,imperative
amac-í,unmarked,itive,imperative
r-amac-à,r,ventive,dependent
r-amac-ì,r,itive,dependent
r-amac-í,r,ventive,perfective
r-à-amac-ì,r,itive,perfective
r-á-amac-à,r,itive,imperfective
r-á-amac-í,r,ventive,imperfective
l-amac-à,l,ventive,dependent
l-amac-ì,l,itive,dependent
l-amac-í,l,ventive,perfective
l-à-amac-ì,l,itive,perfective
l-á-amac-à,l,itive,imperfective
l-á-amac-í,l,ventive,imperfective
ŋ-amac-à,ŋ,ventive,dependent
ŋ-amac-ì,ŋ,itive,dependent
ŋ-amac-í,ŋ,ventive,perfective
ŋ-à-amac-ì,ŋ,itive,perfective
ŋ-á-amac-à,ŋ,itive,imperfective
ŋ-á-amac-í,ŋ,ventive,imperfective
ɲ-amac-à,ɲ,ventive,dependent
ɲ-amac-ì,ɲ,itive,dependent
ɲ-amac-í,ɲ,ventive,perfective
ɲ-à-amac-ì,ɲ,itive,perfective
ɲ-á-amac-à,ɲ,itive,imperfective
ɲ-á-amac-í,ɲ,ventive,imperfective
n-amac-à,n,ventive,dependent
n-amac-ì,n,itive,dependent
n-amac-í,n,ventive,perfective
n-à-amac-ì,n,itive,perfective
n-á-amac-à,n,itive,imperfective
n-á-amac-í,n,ventive,imperfective
j-amac-à,j,ventive,dependent
j-amac-ì,j,itive,dependent
j-amac-í,j,ventive,perfective
j-à-amac-ì,j,itive,perfective
j-á-amac-à,j,itive,imperfective
j-á-amac-í,j,ventive,imperfective
ð-amac-à,ð,ventive,dependent
ð-amac-á,ð,unmarked,infinitive
ð-amac-ì,ð,itive,dependent
ð-amac-í,ð,ventive,perfective
ð-à-amac-ì,ð,itive,perfective
ð-á-amac-à,ð,itive,imperfective
ð-á-amac-í,ð,ventive,imperfective
g-amac-à,g,ventive,dependent
g-amac-ì,g,itive,dependent
g-amac-í,g,ventive,perfective
g-à-amac-ì,g,itive,perfective
g-á-amac-à,g,itive,imperfective
g-á-amac-í,g,ventive,imperfective
t̪-amac-à,t̪,ventive,dependent
t̪-amac-ì,t̪,itive,dependent
t̪-amac-í,t̪,ventive,perfective
t̪-à-amac-ì,t̪,itive,perfective
t̪-á-amac-à,t̪,itive,imperfective
t̪-á-amac-í,t̪,ventive,imperfective
amiɲ-á,unmarked,ventive,imperative
amiɲ-í,unmarked,itive,imperative
r-amiɲ-à,r,ventive,dependent
r-amiɲ-ì,r,itive,dependent
r-amiɲ-í,r,ventive,perfective
r-à-amiɲ-ì,r,itive,perfective
r-á-amiɲ-à,r,itive,imperfective
r-á-amiɲ-í,r,ventive,imperfective
l-amiɲ-à,l,ventive,dependent
l-amiɲ-ì,l,itive,dependent
l-amiɲ-í,l,ventive,perfective
l-à-amiɲ-ì,l,itive,perfective
l-á-amiɲ-à,l,itive,imperfective
l-á-amiɲ-í,l,ventive,imperfective
ŋ-amiɲ-à,ŋ,ventive,dependent
ŋ-amiɲ-ì,ŋ,itive,dependent
ŋ-amiɲ-í,ŋ,ventive,perfective
ŋ-à-amiɲ-ì,ŋ,itive,perfective
ŋ-á-amiɲ-à,ŋ,itive,imperfective
ŋ-á-amiɲ-í,ŋ,ventive,imperfective
ɲ-amiɲ-à,ɲ,ventive,dependent
ɲ-amiɲ-ì,ɲ,itive,dependent
ɲ-amiɲ-í,ɲ,ventive,perfective
ɲ-à-amiɲ-ì,ɲ,itive,perfective
ɲ-á-amiɲ-à,ɲ,itive,imperfective
ɲ-á-amiɲ-í,ɲ,ventive,imperfective
n-amiɲ-à,n,ventive,dependent
n-amiɲ-ì,n,itive,dependent
n-amiɲ-í,n,ventive,perfective
n-à-amiɲ-ì,n,itive,perfective
n-á-amiɲ-à,n,itive,imperfective
n-á-amiɲ-í,n,ventive,imperfective
j-amiɲ-à,j,ventive,dependent
j-amiɲ-ì,j,itive,dependent
j-amiɲ-í,j,ventive,perfective
j-à-amiɲ-ì,j,itive,perfective
j-á-amiɲ-à,j,itive,imperfective
j-á-amiɲ-í,j,ventive,imperfective
ð-amiɲ-à,ð,ventive,dependent
ð-amiɲ-á,ð,unmarked,infinitive
ð-amiɲ-ì,ð,itive,dependent
ð-amiɲ-í,ð,ventive,perfective
ð-à-amiɲ-ì,ð,itive,perfective
ð-á-amiɲ-à,ð,itive,imperfective
ð-á-amiɲ-í,ð,ventive,imperfective
g-amiɲ-à,g,ventive,dependent
g-amiɲ-ì,g,itive,dependent
g-amiɲ-í,g,ventive,perfective
g-à-amiɲ-ì,g,itive,perfective
g-á-amiɲ-à,g,itive,imperfective
g-á-amiɲ-í,g,ventive,imperfective
t̪-amiɲ-à,t̪,ventive,dependent
t̪-amiɲ-ì,t̪,itive,dependent
t̪-amiɲ-í,t̪,ventive,perfective
t̪-à-amiɲ-ì,t̪,itive,perfective
t̪-á-amiɲ-à,t̪,itive,imperfective
t̪-á-amiɲ-í,t̪,ventive,imperfective
avəðac-á,unmarked,ventive,imperative
avəðac-í,unmarked,itive,imperative
r-avəðac-à,r,ventive,dependent
r-avəðac-ì,r,itive,dependent
r-avəðac-í,r,ventive,perfective
r-à-avəðac-ì,r,itive,perfective
r-á-avəðac-à,r,itive,imperfective
r-á-avəðac-í,r,ventive,imperfective
l-avəðac-à,l,ventive,dependent
l-avəðac-ì,l,itive,dependent
l-avəðac-í,l,ventive,perfective
l-à-avəðac-ì,l,itive,perfective
l-á-avəðac-à,l,itive,imperfective
l-á-avəðac-í,l,ventive,imperfective
ŋ-avəðac-à,ŋ,ventive,dependent
ŋ-avəðac-ì,ŋ,itive,dependent
ŋ-avəðac-í,ŋ,ventive,perfective
ŋ-à-avəðac-ì,ŋ,itive,perfective
ŋ-á-avəðac-à,ŋ,itive,imperfective
ŋ-á-avəðac-í,ŋ,ventive,imperfective
ɲ-avəðac-à,ɲ,ventive,dependent
ɲ-avəðac-ì,ɲ,itive,dependent
ɲ-avəðac-í,ɲ,ventive,perfective
ɲ-à-avəðac-ì,ɲ,itive,perfective
ɲ-á-avəðac-à,ɲ,itive,imperfective
ɲ-á-avəðac-í,ɲ,ventive,imperfective
n-avəðac-à,n,ventive,dependent
n-avəðac-ì,n,itive,dependent
n-avəðac-í,n,ventive,perfective
n-à-avəðac-ì,n,itive,perfective
n-á-avəðac-à,n,itive,imperfective
n-á-avəðac-í,n,ventive,imperfective
j-avəðac-à,j,ventive,dependent
j-avəðac-ì,j,itive,dependent
j-avəðac-í,j,ventive,perfective
j-à-avəðac-ì,j,itive,perfective
j-á-avəðac-à,j,itive,imperfective
j-á-avəðac-í,j,ventive,imperfective
ð-avəðac-à,ð,ventive,dependent
ð-avəðac-á,ð,unmarked,infinitive
ð-avəðac-ì,ð,itive,dependent
ð-avəðac-í,ð,ventive,perfective
ð-à-avəðac-ì,ð,itive,perfective
ð-á-avəðac-à,ð,itive,imperfective
ð-á-avəðac-í,ð,ventive,imperfective
g-avəðac-à,g,ventive,dependent
g-avəðac-ì,g,itive,dependent
g-avəðac-í,g,ventive,perfective
g-à-avəðac-ì,g,itive,perfective
g-á-avəðac-à,g,itive,imperfective
g-á-avəðac-í,g,ventive,imperfective
t̪-avəðac-à,t̪,ventive,dependent
t̪-avəðac-ì,t̪,itive,dependent
t̪-avəðac-í,t̪,ventive,perfective
t̪-à-avəðac-ì,t̪,itive,perfective
t̪-á-avəðac-à,t̪,itive,imperfective
t̪-á-avəðac-í,t̪,ventive,imperfective
kaɾc-á,unmarked,ventive,imperative
kaɾc-í,unmarked,itive,imperative
rə̀-kaɾc-à,r,ventive,dependent
rə̀-kaɾc-ì,r,itive,dependent
rə̀-kaɾc-í,r,ventive,perfective
r-à-kaɾc-ì,r,itive,perfective
r-á-kaɾc-à,r,itive,imperfective
r-á-kaɾc-í,r,ventive,imperfective
lə̀-kaɾc-à,l,ventive,dependent
lə̀-kaɾc-ì,l,itive,dependent
lə̀-kaɾc-í,l,ventive,perfective
l-à-kaɾc-ì,l,itive,perfective
l-á-kaɾc-à,l,itive,imperfective
l-á-kaɾc-í,l,ventive,imperfective
ŋə̀-kaɾc-à,ŋ,ventive,dependent
ŋə̀-kaɾc-ì,ŋ,itive,dependent
ŋə̀-kaɾc-í,ŋ,ventive,perfective
ŋ-à-kaɾc-ì,ŋ,itive,perfective
ŋ-á-kaɾc-à,ŋ,itive,imperfective
ŋ-á-kaɾc-í,ŋ,ventive,imperfective
ɲə̀-kaɾc-à,ɲ,ventive,dependent
ɲə̀-kaɾc-ì,ɲ,itive,dependent
ɲə̀-kaɾc-í,ɲ,ventive,perfective
ɲ-à-kaɾc-ì,ɲ,itive,perfective
ɲ-á-kaɾc-à,ɲ,itive,imperfective
ɲ-á-kaɾc-í,ɲ,ventive,imperfective
nə̀-kaɾc-à,n,ventive,dependent
nə̀-kaɾc-ì,n,itive,dependent
nə̀-kaɾc-í,n,ventive,perfective
n-à-kaɾc-ì,n,itive,perfective
n-á-kaɾc-à,n,itive,imperfective
n-á-kaɾc-í,n,ventive,imperfective
jə̀-kaɾc-à,j,ventive,dependent
jə̀-kaɾc-ì,j,itive,dependent
jə̀-kaɾc-í,j,ventive,perfective
j-à-kaɾc-ì,j,itive,perfective
j-á-kaɾc-à,j,itive,imperfective
j-á-kaɾc-í,j,ventive,imperfective
ðə̀-kaɾc-à,ð,ventive,dependent
ðə̀-kaɾc-ì,ð,itive,dependent
ðə̀-kaɾc-í,ð,ventive,perfective
ðə́-kaɾc-á,ð,unmarked,infinitive
ð-à-kaɾc-ì,ð,itive,perfective
ð-á-kaɾc-à,ð,itive,imperfective
ð-á-kaɾc-í,ð,ventive,imperfective
gə̀-kaɾc-à,g,ventive,dependent
gə̀-kaɾc-ì,g,itive,dependent
gə̀-kaɾc-í,g,ventive,perfective
g-à-kaɾc-ì,g,itive,perfective
g-á-kaɾc-à,g,itive,imperfective
g-á-kaɾc-í,g,ventive,imperfective
t̪ə̀-kaɾc-à,t̪,ventive,dependent
t̪ə̀-kaɾc-ì,t̪,itive,dependent
t̪ə̀-kaɾc-í,t̪,ventive,perfective
t̪-à-kaɾc-ì,t̪,itive,perfective
t̪-á-kaɾc-à,t̪,itive,imperfective
t̪-á-kaɾc-í,t̪,ventive,imperfective
lac-á,unmarked,ventive,imperative
lac-í,unmarked,itive,imperative
rə̀-lac-à,r,ventive,dependent
rə̀-lac-ì,r,itive,dependent
rə̀-lac-í,r,ventive,perfective
r-à-lac-ì,r,itive,perfective
r-á-lac-à,r,itive,imperfective
r-á-lac-í,r,ventive,imperfective
lə̀-lac-à,l,ventive,dependent
lə̀-lac-ì,l,itive,dependent
lə̀-lac-í,l,ventive,perfective
l-à-lac-ì,l,itive,perfective
l-á-lac-à,l,itive,imperfective
l-á-lac-í,l,ventive,imperfective
ŋə̀-lac-à,ŋ,ventive,dependent
ŋə̀-lac-ì,ŋ,itive,dependent
ŋə̀-lac-í,ŋ,ventive,perfective
ŋ-à-lac-ì,ŋ,itive,perfective
ŋ-á-lac-à,ŋ,itive,imperfective
ŋ-á-lac-í,ŋ,ventive,imperfective
ɲə̀-lac-à,ɲ,ventive,dependent
ɲə̀-lac-ì,ɲ,itive,dependent
ɲə̀-lac-í,ɲ,ventive,perfective
ɲ-à-lac-ì,ɲ,itive,perfective
ɲ-á-lac-à,ɲ,itive,imperfective
ɲ-á-lac-í,ɲ,ventive,imperfective
nə̀-lac-à,n,ventive,dependent
nə̀-lac-ì,n,itive,dependent
nə̀-lac-í,n,ventive,perfective
n-à-lac-ì,n,itive,perfective
n-á-lac-à,n,itive,imperfective
n-á-lac-í,n,ventive,imperfective
jə̀-lac-à,j,ventive,dependent
jə̀-lac-ì,j,itive,dependent
jə̀-lac-í,j,ventive,perfective
j-à-lac-ì,j,itive,perfective
j-á-lac-à,j,itive,imperfective
j-á-lac-í,j,ventive,imperfective
ðə̀-lac-à,ð,ventive,dependent
ðə̀-lac-ì,ð,itive,dependent
ðə̀-lac-í,ð,ventive,perfective
ðə́-lac-á,ð,unmarked,infinitive
ð-à-lac-ì,ð,itive,perfective
ð-á-lac-à,ð,itive,imperfective
ð-á-lac-í,ð,ventive,imperfective
gə̀-lac-à,g,ventive,dependent
gə̀-lac-ì,g,itive,dependent
gə̀-lac-í,g,ventive,perfective
g-à-lac-ì,g,itive,perfective
g-á-lac-à,g,itive,imperfective
g-á-lac-í,g,ventive,imperfective
t̪ə̀-lac-à,t̪,ventive,dependent
t̪ə̀-lac-ì,t̪,itive,dependent
t̪ə̀-lac-í,t̪,ventive,perfective
t̪-à-lac-ì,t̪,itive,perfective
t̪-á-lac-à,t̪,itive,imperfective
t̪-á-lac-í,t̪,ventive,imperfective
lɛŋc-á,unmarked,ventive,imperative
lɛŋc-í,unmarked,itive,imperative
rə̀-lɛŋc-à,r,ventive,dependent
rə̀-lɛŋc-ì,r,itive,dependent
rə̀-lɛŋc-í,r,ventive,perfective
r-à-lɛŋc-ì,r,itive,perfective
r-á-lɛŋc-à,r,itive,imperfective
r-á-lɛŋc-í,r,ventive,imperfective
lə̀-lɛŋc-à,l,ventive,dependent
lə̀-lɛŋc-ì,l,itive,dependent
lə̀-lɛŋc-í,l,ventive,perfective
l-à-lɛŋc-ì,l,itive,perfective
l-á-lɛŋc-à,l,itive,imperfective
l-á-lɛŋc-í,l,ventive,imperfective
ŋə̀-lɛŋc-à,ŋ,ventive,dependent
ŋə̀-lɛŋc-ì,ŋ,itive,dependent
ŋə̀-lɛŋc-í,ŋ,ventive,perfective
ŋ-à-lɛŋc-ì,ŋ,itive,perfective
ŋ-á-lɛŋc-à,ŋ,itive,imperfective
ŋ-á-lɛŋc-í,ŋ,ventive,imperfective
ɲə̀-lɛŋc-à,ɲ,ventive,dependent
ɲə̀-lɛŋc-ì,ɲ,itive,dependent
ɲə̀-lɛŋc-í,ɲ,ventive,perfective
ɲ-à-lɛŋc-ì,ɲ,itive,perfective
ɲ-á-lɛŋc-à,ɲ,itive,imperfective
ɲ-á-lɛŋc-í,ɲ,ventive,imperfective
nə̀-lɛŋc-à,n,ventive,dependent
nə̀-lɛŋc-ì,n,itive,dependent
nə̀-lɛŋc-í,n,ventive,perfective
n-à-lɛŋc-ì,n,itive,perfective
n-á-lɛŋc-à,n,itive,imperfective
n-á-lɛŋc-í,n,ventive,imperfective
jə̀-lɛŋc-à,j,ventive,dependent
jə̀-lɛŋc-ì,j,itive,dependent
jə̀-lɛŋc-í,j,ventive,perfective
j-à-lɛŋc-ì,j,itive,perfective
j-á-lɛŋc-à,j,itive,imperfective
j-á-lɛŋc-í,j,ventive,imperfective
ðə̀-lɛŋc-à,ð,ventive,dependent
ðə̀-lɛŋc-ì,ð,itive,dependent
ðə̀-lɛŋc-í,ð,ventive,perfective
ðə́-lɛŋc-á,ð,unmarked,infinitive
ð-à-lɛŋc-ì,ð,itive,perfective
ð-á-lɛŋc-à,ð,itive,imperfective
ð-á-lɛŋc-í,ð,ventive,imperfective
gə̀-lɛŋc-à,g,ventive,dependent
gə̀-lɛŋc-ì,g,itive,dependent
gə̀-lɛŋc-í,g,ventive,perfective
g-à-lɛŋc-ì,g,itive,perfective
g-á-lɛŋc-à,g,itive,imperfective
g-á-lɛŋc-í,g,ventive,imperfective
t̪ə̀-lɛŋc-à,t̪,ventive,dependent
t̪ə̀-lɛŋc-ì,t̪,itive,dependent
t̪ə̀-lɛŋc-í,t̪,ventive,perfective
t̪-à-lɛŋc-ì,t̪,itive,perfective
t̪-á-lɛŋc-à,t̪,itive,imperfective
t̪-á-lɛŋc-í,t̪,ventive,imperfective
ləvc-á,unmarked,ventive,imperative
ləvc-í,unmarked,itive,imperative
rə̀-ləvc-à,r,ventive,dependent
rə̀-ləvc-ì,r,itive,dependent
rə̀-ləvc-í,r,ventive,perfective
r-à-ləvc-ì,r,itive,perfective
r-á-ləvc-à,r,itive,imperfective
r-á-ləvc-í,r,ventive,imperfective
lə̀-ləvc-à,l,ventive,dependent
lə̀-ləvc-ì,l,itive,dependent
lə̀-ləvc-í,l,ventive,perfective
l-à-ləvc-ì,l,itive,perfective
l-á-ləvc-à,l,itive,imperfective
l-á-ləvc-í,l,ventive,imperfective
ŋə̀-ləvc-à,ŋ,ventive,dependent
ŋə̀-ləvc-ì,ŋ,itive,dependent
ŋə̀-ləvc-í,ŋ,ventive,perfective
ŋ-à-ləvc-ì,ŋ,itive,perfective
ŋ-á-ləvc-à,ŋ,itive,imperfective
ŋ-á-ləvc-í,ŋ,ventive,imperfective
ɲə̀-ləvc-à,ɲ,ventive,dependent
ɲə̀-ləvc-ì,ɲ,itive,dependent
ɲə̀-ləvc-í,ɲ,ventive,perfective
ɲ-à-ləvc-ì,ɲ,itive,perfective
ɲ-á-ləvc-à,ɲ,itive,imperfective
ɲ-á-ləvc-í,ɲ,ventive,imperfective
nə̀-ləvc-à,n,ventive,dependent
nə̀-ləvc-ì,n,itive,dependent
nə̀-ləvc-í,n,ventive,perfective
n-à-ləvc-ì,n,itive,perfective
n-á-ləvc-à,n,itive,imperfective
n-á-ləvc-í,n,ventive,imperfective
jə̀-ləvc-à,j,ventive,dependent
jə̀-ləvc-ì,j,itive,dependent
jə̀-ləvc-í,j,ventive,perfective
j-à-ləvc-ì,j,itive,perfective
j-á-ləvc-à,j,itive,imperfective
j-á-ləvc-í,j,ventive,imperfective
ðə̀-ləvc-à,ð,ventive,dependent
ðə̀-ləvc-ì,ð,itive,dependent
ðə̀-ləvc-í,ð,ventive,perfective
ðə́-ləvc-á,ð,unmarked,infinitive
ð-à-ləvc-ì,ð,itive,perfective
ð-á-ləvc-à,ð,itive,imperfective
ð-á-ləvc-í,ð,ventive,imperfective
gə̀-ləvc-à,g,ventive,dependent
gə̀-ləvc-ì,g,itive,dependent
gə̀-ləvc-í,g,ventive,perfective
g-à-ləvc-ì,g,itive,perfective
g-á-ləvc-à,g,itive,imperfective
g-á-ləvc-í,g,ventive,imperfective
t̪ə̀-ləvc-à,t̪,ventive,dependent
t̪ə̀-ləvc-ì,t̪,itive,dependent
t̪ə̀-ləvc-í,t̪,ventive,perfective
t̪-à-ləvc-ì,t̪,itive,perfective
t̪-á-ləvc-à,t̪,itive,imperfective
t̪-á-ləvc-í,t̪,ventive,imperfective
ŋatc-á,unmarked,ventive,imperative
ŋatc-í,unmarked,itive,imperative
rə̀-ŋatc-à,r,ventive,dependent
rə̀-ŋatc-ì,r,itive,dependent
rə̀-ŋatc-í,r,ventive,perfective
r-à-ŋatc-ì,r,itive,perfective
r-á-ŋatc-à,r,itive,imperfective
r-á-ŋatc-í,r,ventive,imperfective
lə̀-ŋatc-à,l,ventive,dependent
lə̀-ŋatc-ì,l,itive,dependent
lə̀-ŋatc-í,l,ventive,perfective
l-à-ŋatc-ì,l,itive,perfective
l-á-ŋatc-à,l,itive,imperfective
l-á-ŋatc-í,l,ventive,imperfective
ŋə̀-ŋatc-à,ŋ,ventive,dependent
ŋə̀-ŋatc-ì,ŋ,itive,dependent
ŋə̀-ŋatc-í,ŋ,ventive,perfective
ŋ-à-ŋatc-ì,ŋ,itive,perfective
ŋ-á-ŋatc-à,ŋ,itive,imperfective
ŋ-á-ŋatc-í,ŋ,ventive,imperfective
ɲə̀-ŋatc-à,ɲ,ventive,dependent
ɲə̀-ŋatc-ì,ɲ,itive,dependent
ɲə̀-ŋatc-í,ɲ,ventive,perfective
ɲ-à-ŋatc-ì,ɲ,itive,perfective
ɲ-á-ŋatc-à,ɲ,itive,imperfective
ɲ-á-ŋatc-í,ɲ,ventive,imperfective
nə̀-ŋatc-à,n,ventive,dependent
nə̀-ŋatc-ì,n,itive,dependent
nə̀-ŋatc-í,n,ventive,perfective
n-à-ŋatc-ì,n,itive,perfective
n-á-ŋatc-à,n,itive,imperfective
n-á-ŋatc-í,n,ventive,imperfective
jə̀-ŋatc-à,j,ventive,dependent
jə̀-ŋatc-ì,j,itive,dependent
jə̀-ŋatc-í,j,ventive,perfective
j-à-ŋatc-ì,j,itive,perfective
j-á-ŋatc-à,j,itive,imperfective
j-á-ŋatc-í,j,ventive,imperfective
ðə̀-ŋatc-à,ð,ventive,dependent
ðə̀-ŋatc-ì,ð,itive,dependent
ðə̀-ŋatc-í,ð,ventive,perfective
ðə́-ŋatc-á,ð,unmarked,infinitive
ð-à-ŋatc-ì,ð,itive,perfective
ð-á-ŋatc-à,ð,itive,imperfective
ð-á-ŋatc-í,ð,ventive,imperfective
gə̀-ŋatc-à,g,ventive,dependent
gə̀-ŋatc-ì,g,itive,dependent
gə̀-ŋatc-í,g,ventive,perfective
g-à-ŋatc-ì,g,itive,perfective
g-á-ŋatc-à,g,itive,imperfective
g-á-ŋatc-í,g,ventive,imperfective
t̪ə̀-ŋatc-à,t̪,ventive,dependent
t̪ə̀-ŋatc-ì,t̪,itive,dependent
t̪ə̀-ŋatc-í,t̪,ventive,perfective
t̪-à-ŋatc-ì,t̪,itive,perfective
t̪-á-ŋatc-à,t̪,itive,imperfective
t̪-á-ŋatc-í,t̪,ventive,imperfective
ɔɽɟɛc-á,unmarked,ventive,imperative
ɔɽɟɛc-í,unmarked,itive,imperative
r-ɔɽɟɛc-à,r,ventive,dependent
r-ɔɽɟɛc-ì,r,itive,dependent
r-ɔɽɟɛc-í,r,ventive,perfective
r-à-ɔɽɟɛc-ì,r,itive,perfective
r-á-ɔɽɟɛc-à,r,itive,imperfective
r-á-ɔɽɟɛc-í,r,ventive,imperfective
l-ɔɽɟɛc-à,l,ventive,dependent
l-ɔɽɟɛc-ì,l,itive,dependent
l-ɔɽɟɛc-í,l,ventive,perfective
l-à-ɔɽɟɛc-ì,l,itive,perfective
l-á-ɔɽɟɛc-à,l,itive,imperfective
l-á-ɔɽɟɛc-í,l,ventive,imperfective
ŋ-ɔɽɟɛc-à,ŋ,ventive,dependent
ŋ-ɔɽɟɛc-ì,ŋ,itive,dependent
ŋ-ɔɽɟɛc-í,ŋ,ventive,perfective
ŋ-à-ɔɽɟɛc-ì,ŋ,itive,perfective
ŋ-á-ɔɽɟɛc-à,ŋ,itive,imperfective
ŋ-á-ɔɽɟɛc-í,ŋ,ventive,imperfective
ɲ-ɔɽɟɛc-à,ɲ,ventive,dependent
ɲ-ɔɽɟɛc-ì,ɲ,itive,dependent
ɲ-ɔɽɟɛc-í,ɲ,ventive,perfective
ɲ-à-ɔɽɟɛc-ì,ɲ,itive,perfective
ɲ-á-ɔɽɟɛc-à,ɲ,itive,imperfective
ɲ-á-ɔɽɟɛc-í,ɲ,ventive,imperfective
n-ɔɽɟɛc-à,n,ventive,dependent
n-ɔɽɟɛc-ì,n,itive,dependent
n-ɔɽɟɛc-í,n,ventive,perfective
n-à-ɔɽɟɛc-ì,n,itive,perfective
n-á-ɔɽɟɛc-à,n,itive,imperfective
n-á-ɔɽɟɛc-í,n,ventive,imperfective
j-ɔɽɟɛc-à,j,ventive,dependent
j-ɔɽɟɛc-ì,j,itive,dependent
j-ɔɽɟɛc-í,j,ventive,perfective
j-à-ɔɽɟɛc-ì,j,itive,perfective
j-á-ɔɽɟɛc-à,j,itive,imperfective
j-á-ɔɽɟɛc-í,j,ventive,imperfective
ð-ɔɽɟɛc-à,ð,ventive,dependent
ð-ɔɽɟɛc-á,ð,unmarked,infinitive
ð-ɔɽɟɛc-ì,ð,itive,dependent
ð-ɔɽɟɛc-í,ð,ventive,perfective
ð-à-ɔɽɟɛc-ì,ð,itive,perfective
ð-á-ɔɽɟɛc-à,ð,itive,imperfective
ð-á-ɔɽɟɛc-í,ð,ventive,imperfective
g-ɔɽɟɛc-à,g,ventive,dependent
g-ɔɽɟɛc-ì,g,itive,dependent
g-ɔɽɟɛc-í,g,ventive,perfective
g-à-ɔɽɟɛc-ì,g,itive,perfective
g-á-ɔɽɟɛc-à,g,itive,imperfective
g-á-ɔɽɟɛc-í,g,ventive,imperfective
t̪-ɔɽɟɛc-à,t̪,ventive,dependent
t̪-ɔɽɟɛc-ì,t̪,itive,dependent
t̪-ɔɽɟɛc-í,t̪,ventive,perfective
t̪-à-ɔɽɟɛc-ì,t̪,itive,perfective
t̪-á-ɔɽɟɛc-à,t̪,itive,imperfective
t̪-á-ɔɽɟɛc-í,t̪,ventive,imperfective
uɽc-á,unmarked,ventive,imperative
uɽc-í,unmarked,itive,imperative
r-uɽc-à,r,ventive,dependent
r-uɽc-ì,r,itive,dependent
r-uɽc-í,r,ventive,perfective
r-à-uɽc-ì,r,itive,perfective
r-á-uɽc-à,r,itive,imperfective
r-á-uɽc-í,r,ventive,imperfective
l-uɽc-à,l,ventive,dependent
l-uɽc-ì,l,itive,dependent
l-uɽc-í,l,ventive,perfective
l-à-uɽc-ì,l,itive,perfective
l-á-uɽc-à,l,itive,imperfective
l-á-uɽc-í,l,ventive,imperfective
ŋ-uɽc-à,ŋ,ventive,dependent
ŋ-uɽc-ì,ŋ,itive,dependent
ŋ-uɽc-í,ŋ,ventive,perfective
ŋ-à-uɽc-ì,ŋ,itive,perfective
ŋ-á-uɽc-à,ŋ,itive,imperfective
ŋ-á-uɽc-í,ŋ,ventive,imperfective
ɲ-uɽc-à,ɲ,ventive,dependent
ɲ-uɽc-ì,ɲ,itive,dependent
ɲ-uɽc-í,ɲ,ventive,perfective
ɲ-à-uɽc-ì,ɲ,itive,perfective
ɲ-á-uɽc-à,ɲ,itive,imperfective
ɲ-á-uɽc-í,ɲ,ventive,imperfective
n-uɽc-à,n,ventive,dependent
n-uɽc-ì,n,itive,dependent
n-uɽc-í,n,ventive,perfective
n-à-uɽc-ì,n,itive,perfective
n-á-uɽc-à,n,itive,imperfective
n-á-uɽc-í,n,ventive,imperfective
j-uɽc-à,j,ventive,dependent
j-uɽc-ì,j,itive,dependent
j-uɽc-í,j,ventive,perfective
j-à-uɽc-ì,j,itive,perfective
j-á-uɽc-à,j,itive,imperfective
j-á-uɽc-í,j,ventive,imperfective
ð-uɽc-à,ð,ventive,dependent
ð-uɽc-á,ð,unmarked,infinitive
ð-uɽc-ì,ð,itive,dependent
ð-uɽc-í,ð,ventive,perfective
ð-à-uɽc-ì,ð,itive,perfective
ð-á-uɽc-à,ð,itive,imperfective
ð-á-uɽc-í,ð,ventive,imperfective
g-uɽc-à,g,ventive,dependent
g-uɽc-ì,g,itive,dependent
g-uɽc-í,g,ventive,perfective
g-à-uɽc-ì,g,itive,perfective
g-á-uɽc-à,g,itive,imperfective
g-á-uɽc-í,g,ventive,imperfective
t̪-uɽc-à,t̪,ventive,dependent
t̪-uɽc-ì,t̪,itive,dependent
t̪-uɽc-í,t̪,ventive,perfective
t̪-à-uɽc-ì,t̪,itive,perfective
t̪-á-uɽc-à,t̪,itive,imperfective
t̪-á-uɽc-í,t̪,ventive,imperfective
ɲɛlac-á,unmarked,ventive,imperative
ɲɛlac-í,unmarked,itive,imperative
rə̀-ɲɛlac-à,r,ventive,dependent
rə̀-ɲɛlac-ì,r,itive,dependent
rə̀-ɲɛlac-í,r,ventive,perfective
r-à-ɲɛlac-ì,r,itive,perfective
r-á-ɲɛlac-à,r,itive,imperfective
